cвободная_паллетная_ёмкость:73232
шаг;материал;приход;уход;остаток
12;0;0;65;557
12;1;0;316;9546
12;2;0;0;0
12;3;0;45;5141
12;4;0;124;3632
12;5;0;521;0
12;6;0;119;768
12;7;0;45;1088
12;8;0;0;0
12;9;0;0;0
12;10;0;231;832
12;11;0;116;3013
12;12;0;250;4050
12;13;0;209;3252
12;14;0;40;3080
12;15;0;0;0
12;16;0;93;777
12;17;0;132;671
12;18;0;203;4888
12;19;0;41;585
12;20;0;28;1036
12;21;0;308;294
12;22;0;72;657
12;23;0;22;1767
12;24;0;104;0
12;25;0;38;409
12;26;2000;106;1897
12;27;0;214;1063
12;28;2000;199;3442
12;29;0;572;0
12;30;0;0;0
12;31;0;0;0
12;32;0;150;4018
12;33;0;0;0
12;34;0;778;2254
12;35;2000;171;7463
12;36;0;24;4936
12;37;0;0;0
12;38;0;18;4801
12;39;0;251;2791
12;40;0;94;1019
12;41;0;6;2085
12;42;0;7;1876
12;43;0;112;1320
12;44;0;364;1802
12;45;0;114;1655
12;46;0;375;1761
12;47;0;86;541
12;48;0;675;825
12;49;0;0;0
12;50;0;243;855
12;51;0;287;1174
12;52;0;0;0
12;53;0;96;610
12;54;0;146;572
12;55;0;0;0
12;56;0;214;1939
12;57;0;0;0
12;58;0;0;0
12;59;0;544;224
12;60;0;192;5453
12;61;0;0;0
12;62;0;188;1235
12;63;0;0;0
12;64;0;331;4360
12;65;0;0;0
12;66;0;0;0
12;67;0;156;5738
12;68;0;174;3293
12;69;2000;5;1995
12;70;0;0;0
12;71;2000;267;1733
12;72;0;0;0
12;73;0;0;0
12;74;0;0;0
12;75;0;0;0
12;76;0;0;0
12;77;0;110;188
12;78;0;126;5327
12;79;0;97;480
