cвободная_паллетная_ёмкость:64146
шаг;материал;приход;уход;остаток
5;0;0;63;1394
5;1;0;279;8947
5;2;0;164;645
5;3;2000;80;3578
5;4;0;35;2807
5;5;0;214;1329
5;6;0;8;1567
5;7;0;135;913
5;8;0;191;948
5;9;0;17;1362
5;10;0;392;239
5;11;2000;56;4515
5;12;0;437;4339
5;13;0;194;2734
5;14;0;75;3503
5;15;0;191;0
5;16;0;28;1455
5;17;2000;427;2268
5;18;0;14;1694
5;19;0;117;2310
5;20;0;126;1516
5;21;0;216;507
5;22;0;46;1410
5;23;0;163;789
5;24;0;348;889
5;25;0;315;807
5;26;0;195;1042
5;27;0;240;2629
5;28;0;190;843
5;29;0;468;2062
5;30;0;245;870
5;31;0;147;768
5;32;0;154;3084
5;33;0;268;316
5;34;0;489;2149
5;35;0;41;5132
5;36;0;81;1586
5;37;0;70;673
5;38;0;60;2710
5;39;2000;250;2512
5;40;0;66;1550
5;41;0;171;773
5;42;0;169;609
5;43;0;36;1770
5;44;2000;395;2066
5;45;0;117;2710
5;46;0;1;1271
5;47;0;61;1379
5;48;0;13;473
5;49;0;32;1168
5;50;0;276;643
5;51;0;432;122
5;52;0;650;2217
5;53;0;222;1307
5;54;0;124;1052
5;55;0;201;191
5;56;0;414;2719
5;57;0;135;475
5;58;0;34;654
5;59;0;108;2922
5;60;2000;630;6437
5;61;0;190;326
5;62;0;226;2765
5;63;0;276;193
5;64;0;385;2089
5;65;0;166;35
5;66;0;297;561
5;67;0;210;2956
5;68;0;184;5213
5;69;0;262;0
5;70;0;99;866
5;71;0;267;389
5;72;0;217;748
5;73;0;367;185
5;74;0;201;406
5;75;0;208;1251
5;76;0;239;583
5;77;0;165;1038
5;78;0;61;3628
5;79;0;120;1273
