cвободная_паллетная_ёмкость:46531
шаг;материал;приход;уход;остаток
1;0;0;69;1826
1;1;2000;185;5749
1;2;0;137;1764
1;3;0;84;1871
1;4;2000;452;3322
1;5;0;111;1724
1;6;0;127;1733
1;7;0;301;1668
1;8;0;169;1681
1;9;0;10;1845
1;10;0;253;1329
1;11;0;406;3519
1;12;0;31;1855
1;13;0;176;3666
1;14;2000;69;3895
1;15;0;212;1297
1;16;0;98;1834
1;17;0;501;1398
1;18;0;13;1947
1;19;0;475;975
1;20;0;84;1881
1;21;0;244;1512
1;22;0;39;1830
1;23;0;124;1639
1;24;0;217;1616
1;25;0;170;1631
1;26;0;220;1682
1;27;0;245;1535
1;28;0;190;1625
1;29;0;239;1598
1;30;0;45;1758
1;31;0;23;1817
1;32;0;153;3696
1;33;0;301;1412
1;34;0;436;1377
1;35;2000;203;3678
1;36;0;6;1936
1;37;0;641;1331
1;38;0;117;1389
1;39;0;244;1507
1;40;0;66;1859
1;41;0;311;1624
1;42;0;261;1494
1;43;0;42;1903
1;44;0;417;1034
1;45;0;214;1423
1;46;0;52;1795
1;47;0;34;1799
1;48;0;227;1744
1;49;0;248;1732
1;50;0;287;1469
1;51;0;251;1566
1;52;0;433;1501
1;53;0;176;1694
1;54;0;202;1533
1;55;0;297;1695
1;56;0;235;3672
1;57;0;485;1273
1;58;0;336;1481
1;59;0;59;1704
1;60;2000;369;3554
1;61;0;416;1247
1;62;0;152;3543
1;63;0;334;1580
1;64;0;300;1254
1;65;0;224;1591
1;66;0;104;1594
1;67;0;146;1680
1;68;0;22;1885
1;69;0;69;1648
1;70;0;175;1715
1;71;0;268;1463
1;72;0;257;1677
1;73;0;300;1599
1;74;0;317;1431
1;75;0;255;1706
1;76;0;224;1583
1;77;0;156;1650
1;78;2000;34;3953
1;79;0;118;1773
