cвободная_паллетная_ёмкость:71418
шаг;материал;приход;уход;остаток
7;0;0;76;1275
7;1;0;196;8655
7;2;0;129;105
7;3;0;63;3470
7;4;0;240;2533
7;5;0;59;1229
7;6;0;255;1312
7;7;0;271;95
7;8;0;202;576
7;9;0;572;415
7;10;0;0;0
7;11;0;86;4305
7;12;0;151;3724
7;13;0;153;4298
7;14;0;46;3387
7;15;0;0;0
7;16;0;79;1230
7;17;0;556;1523
7;18;0;111;3499
7;19;0;229;1752
7;20;0;117;1279
7;21;2000;319;1827
7;22;0;65;1166
7;23;0;42;643
7;24;0;122;623
7;25;0;13;737
7;26;0;187;668
7;27;0;225;2197
7;28;0;194;454
7;29;0;428;1218
7;30;0;245;116
7;31;0;344;283
7;32;0;152;2781
7;33;0;49;0
7;34;0;440;1695
7;35;0;518;4550
7;36;2000;192;3388
7;37;0;125;187
7;38;0;398;4200
7;39;0;246;2025
7;40;0;78;1404
7;41;0;166;430
7;42;0;58;492
7;43;0;59;1607
7;44;2000;133;3233
7;45;0;272;2316
7;46;2000;145;2700
7;47;0;173;1171
7;48;0;40;231
7;49;0;283;788
7;50;0;361;7
7;51;0;0;0
7;52;0;396;1244
7;53;0;249;1046
7;54;0;8;1040
7;55;0;0;0
7;56;2000;415;3972
7;57;0;304;0
7;58;0;206;95
7;59;0;635;2237
7;60;0;138;6026
7;61;0;0;0
7;62;0;264;2357
7;63;0;0;0
7;64;0;69;1870
7;65;0;0;0
7;66;0;192;235
7;67;2000;223;6551
7;68;0;264;4628
7;69;0;0;0
7;70;0;158;619
7;71;0;123;0
7;72;0;260;370
7;73;0;0;0
7;74;0;136;209
7;75;0;19;838
7;76;0;276;0
7;77;0;172;796
7;78;0;14;5589
7;79;0;122;1061
