cвободная_паллетная_ёмкость:74025
шаг;материал;приход;уход;остаток
10;0;0;253;663
10;1;2000;179;9898
10;2;0;0;0
10;3;0;67;5230
10;4;0;180;3967
10;5;0;236;747
10;6;0;131;1116
10;7;0;203;1692
10;8;0;155;107
10;9;0;54;0
10;10;0;191;1337
10;11;0;160;3270
10;12;0;444;2613
10;13;0;70;3717
10;14;0;56;3166
10;15;0;0;0
10;16;0;68;998
10;17;0;62;945
10;18;0;175;5215
10;19;0;88;827
10;20;0;19;1134
10;21;0;332;938
10;22;0;202;761
10;23;0;155;176
10;24;0;14;211
10;25;0;94;496
10;26;0;20;334
10;27;0;243;1489
10;28;0;199;1845
10;29;0;205;585
10;30;0;0;0
10;31;0;0;0
10;32;0;149;4323
10;33;0;0;0
10;34;0;233;3117
10;35;0;386;3888
10;36;2000;147;5041
10;37;0;0;0
10;38;0;570;5139
10;39;0;249;1284
10;40;0;54;1195
10;41;0;108;186
10;42;0;0;0
10;43;0;26;1528
10;44;0;225;2255
10;45;0;103;2021
10;46;0;162;2317
10;47;0;222;847
10;48;2000;260;1740
10;49;0;272;92
10;50;0;329;1317
10;51;2000;244;1756
10;52;0;44;309
10;53;0;94;764
10;54;0;38;781
10;55;0;0;0
10;56;0;378;2550
10;57;0;0;0
10;58;0;0;0
10;59;0;487;1404
10;60;0;45;5811
10;61;0;0;0
10;62;0;148;1661
10;63;0;0;0
10;64;2000;261;5038
10;65;0;0;0
10;66;0;0;0
10;67;0;190;5983
10;68;0;196;3546
10;69;0;0;0
10;70;0;424;3
10;71;0;0;0
10;72;0;0;0
10;73;0;0;0
10;74;0;0;0
10;75;0;0;0
10;76;0;0;0
10;77;0;153;423
10;78;0;31;5465
10;79;0;138;714
