cвободная_паллетная_ёмкость:74363
шаг;материал;приход;уход;остаток
8;0;0;227;1048
8;1;0;260;8395
8;2;0;105;0
8;3;2000;71;5399
8;4;2000;208;4325
8;5;0;97;1132
8;6;0;6;1306
8;7;0;92;3
8;8;0;103;473
8;9;0;288;127
8;10;2000;212;1788
8;11;0;654;3651
8;12;0;100;3624
8;13;0;224;4074
8;14;0;96;3291
8;15;0;0;0
8;16;0;75;1155
8;17;0;182;1341
8;18;2000;104;5395
8;19;0;367;1385
8;20;0;61;1218
8;21;0;284;1543
8;22;0;149;1017
8;23;0;144;499
8;24;0;309;314
8;25;0;131;606
8;26;0;71;597
8;27;0;233;1964
8;28;0;201;253
8;29;0;61;1157
8;30;0;103;13
8;31;0;283;0
8;32;0;153;2628
8;33;0;0;0
8;34;0;113;1582
8;35;0;133;4417
8;36;0;196;3192
8;37;0;187;0
8;38;0;341;3859
8;39;0;248;1777
8;40;0;82;1322
8;41;0;63;367
8;42;0;265;227
8;43;0;24;1583
8;44;0;293;2940
8;45;0;92;2224
8;46;0;89;2611
8;47;0;19;1152
8;48;0;231;0
8;49;0;219;569
8;50;0;7;0
8;51;0;0;0
8;52;0;544;700
8;53;0;134;912
8;54;0;113;927
8;55;0;0;0
8;56;0;625;3347
8;57;0;0;0
8;58;0;95;0
8;59;0;264;1973
8;60;0;60;5966
8;61;0;0;0
8;62;0;259;2098
8;63;0;0;0
8;64;2000;540;3330
8;65;0;0;0
8;66;0;176;59
8;67;0;150;6401
8;68;0;431;4197
8;69;0;0;0
8;70;0;19;600
8;71;0;0;0
8;72;0;370;0
8;73;0;0;0
8;74;0;209;0
8;75;0;496;342
8;76;0;0;0
8;77;0;105;691
8;78;0;14;5575
8;79;0;85;976
