cвободная_паллетная_ёмкость:50069
шаг;материал;приход;уход;остаток
2;0;0;170;1656
2;1;2000;252;7497
2;2;0;628;1136
2;3;0;63;1808
2;4;0;311;3011
2;5;0;27;1697
2;6;0;30;1703
2;7;0;295;1373
2;8;0;208;1473
2;9;0;102;1743
2;10;0;156;1173
2;11;0;9;3510
2;12;2000;290;3565
2;13;0;198;3468
2;14;0;74;3821
2;15;0;520;777
2;16;0;203;1631
2;17;0;114;1284
2;18;0;109;1838
2;19;0;93;882
2;20;0;48;1833
2;21;0;240;1272
2;22;0;259;1571
2;23;0;107;1532
2;24;0;165;1451
2;25;0;275;1356
2;26;0;224;1458
2;27;0;228;1307
2;28;0;202;1423
2;29;2000;415;3183
2;30;0;132;1626
2;31;0;304;1513
2;32;0;153;3543
2;33;0;304;1108
2;34;2000;231;3146
2;35;0;137;3541
2;36;0;97;1839
2;37;0;78;1253
2;38;0;81;1308
2;39;0;262;1245
2;40;0;82;1777
2;41;0;130;1494
2;42;0;140;1354
2;43;0;15;1888
2;44;0;233;801
2;45;0;325;1098
2;46;0;36;1759
2;47;0;76;1723
2;48;0;77;1667
2;49;0;181;1551
2;50;0;239;1230
2;51;0;339;1227
2;52;2000;0;3501
2;53;0;36;1658
2;54;0;153;1380
2;55;0;555;1140
2;56;0;14;3658
2;57;0;36;1237
2;58;0;112;1369
2;59;0;201;1503
2;60;0;99;3455
2;61;0;189;1058
2;62;0;153;3390
2;63;0;551;1029
2;64;0;211;1043
2;65;0;563;1028
2;66;0;539;1055
2;67;0;148;1532
2;68;2000;82;3803
2;69;0;293;1355
2;70;0;229;1486
2;71;0;268;1195
2;72;0;178;1499
2;73;0;358;1241
2;74;0;219;1212
2;75;0;87;1619
2;76;0;257;1326
2;77;0;179;1471
2;78;0;29;3924
2;79;0;132;1641
