cвободная_паллетная_ёмкость:70448
шаг;материал;приход;уход;остаток
16;0;2000;150;3913
16;1;2000;185;10891
16;2;0;0;0
16;3;0;87;4876
16;4;0;427;2643
16;5;0;0;0
16;6;0;179;2116
16;7;0;76;2187
16;8;0;0;0
16;9;0;0;0
16;10;0;0;0
16;11;0;151;2105
16;12;0;121;3192
16;13;0;227;2357
16;14;0;74;4766
16;15;0;0;0
16;16;0;343;76
16;17;0;26;171
16;18;2000;51;6577
16;19;0;300;0
16;20;0;69;813
16;21;0;269;3055
16;22;0;75;439
16;23;2000;58;2985
16;24;0;118;3609
16;25;0;30;252
16;26;0;40;972
16;27;0;228;195
16;28;0;191;2648
16;29;0;338;1260
16;30;0;0;0
16;31;0;0;0
16;32;0;155;3397
16;33;0;0;0
16;34;0;175;1261
16;35;0;235;8860
16;36;0;257;4515
16;37;0;0;0
16;38;0;351;3618
16;39;0;242;1795
16;40;0;46;2762
16;41;0;67;859
16;42;0;590;319
16;43;0;85;1134
16;44;0;129;0
16;45;0;244;1033
16;46;0;210;1013
16;47;0;65;348
16;48;0;0;0
16;49;0;0;0
16;50;0;84;0
16;51;0;274;2157
16;52;0;0;0
16;53;0;43;313
16;54;0;97;2180
16;55;0;0;0
16;56;0;34;1209
16;57;0;0;0
16;58;0;0;0
16;59;0;0;0
16;60;0;89;4951
16;61;0;492;1373
16;62;0;302;268
16;63;2000;282;1718
16;64;0;41;3562
16;65;0;412;434
16;66;0;0;0
16;67;0;193;5194
16;68;0;166;2481
16;69;2000;102;3595
16;70;0;0;0
16;71;0;268;661
16;72;0;0;0
16;73;0;356;1286
16;74;0;0;0
16;75;0;0;0
16;76;0;0;0
16;77;0;0;0
16;78;0;73;5092
16;79;0;111;66
