cвободная_паллетная_ёмкость:53881
шаг;материал;приход;уход;остаток
3;0;0;49;1607
3;1;0;46;7451
3;2;0;41;1095
3;3;0;91;1717
3;4;0;60;2951
3;5;0;64;1633
3;6;0;113;1590
3;7;0;121;1252
3;8;0;168;1305
3;9;0;153;1590
3;10;0;255;918
3;11;0;495;3015
3;12;0;341;3224
3;13;0;207;3261
3;14;0;129;3692
3;15;0;114;663
3;16;0;136;1495
3;17;0;180;1104
3;18;0;130;1708
3;19;2000;210;2672
3;20;0;109;1724
3;21;0;298;974
3;22;0;22;1549
3;23;0;288;1244
3;24;0;176;1275
3;25;0;65;1291
3;26;0;214;1244
3;27;2000;223;3084
3;28;0;198;1225
3;29;0;246;2937
3;30;0;272;1354
3;31;0;168;1345
3;32;0;152;3391
3;33;0;267;841
3;34;0;345;2801
3;35;2000;38;5503
3;36;0;51;1788
3;37;0;431;822
3;38;2000;199;3109
3;39;0;233;1012
3;40;0;97;1680
3;41;0;447;1047
3;42;0;60;1294
3;43;0;41;1847
3;44;0;115;686
3;45;0;126;972
3;46;0;436;1323
3;47;0;23;1700
3;48;0;455;1212
3;49;0;191;1360
3;50;0;119;1111
3;51;0;280;947
3;52;0;370;3131
3;53;0;37;1621
3;54;0;153;1227
3;55;0;210;930
3;56;0;509;3149
3;57;0;282;955
3;58;0;86;1283
3;59;0;122;1381
3;60;2000;247;5208
3;61;0;350;708
3;62;0;181;3209
3;63;0;91;938
3;64;0;245;798
3;65;0;507;521
3;66;0;54;1001
3;67;2000;205;3327
3;68;0;86;3717
3;69;0;279;1076
3;70;0;222;1264
3;71;0;271;924
3;72;0;476;1023
3;73;0;304;937
3;74;0;383;829
3;75;0;69;1550
3;76;0;261;1065
3;77;0;101;1370
3;78;0;101;3823
3;79;0;122;1519
