материал;матожидание;стандартное_отклонение
0;87.6813612057296;104.89163436968995
1;220.28163381324975;109.00816968007543
2;56.484404663294974;273.55324231045364
3;63.64066833908992;21.231473111463274
4;206.17107290087293;209.19487608861886
5;207.2011291310312;172.14639031117096
6;81.41685025441305;183.7744539329109
7;160.72860535976272;217.3092993783203
8;169.92270547495343;39.39089374042503
9;18.55324503815491;249.63638982350142
10;272.62524767005607;79.63121379591523
11;30.828878824986006;286.31988502053593
12;266.8244517876314;186.15555863231936
13;233.9069597869939;96.53254530291014
14;69.79420567698095;22.065001487548585
15;156.7166706325764;285.7130853610329
16;90.81209321293325;72.56169856602158
17;11.351353826125088;289.6279009791659
18;36.79095256173287;134.25090319535826
19;214.24488428086516;290.68146706884215
20;10.815723643155373;97.14923069886542
21;269.3802967444236;50.10040768309576
22;13.885353355603748;168.05328115388193
23;176.9064356189344;152.64336906090858
24;128.03045321232048;160.38762139153533
25;109.34719047125007;85.39133835325391
26;123.72364988783207;223.99109232662937
27;223.27126039988838;18.950272968737426
28;196.12050447521372;8.51503618553453
29;246.84913704466948;228.0502631311905
30;193.16520285141425;146.1970367401308
31;203.15751926660195;279.05294326366123
32;153.96598078516072;3.7386112262967175
33;295.39995849175824;24.280923998487747
34;128.09168605672085;288.854985226151
35;93.39624051816429;277.36068202303653
36;95.56175760453618;104.78016233638192
37;220.75136784253846;299.9224439036333
38;253.29802323315852;125.60007039052967
39;249.04890587337633;8.02805784831171
40;76.67788154435135;16.751720586360573
41;159.22175234920883;206.6002036263757
42;104.57450637820017;248.3657944522574
43;30.93723969608655;81.90351873732638
44;232.89073340675506;244.3453066803161
45;68.39186122668873;225.78076544827718
46;235.08947318581738;177.1625042436351
47;65.3446644304157;130.87424171626125
48;258.5945166055574;257.3212368910791
49;153.52684333992534;83.46524169716072
50;273.18183726731604;77.2716965386608
51;266.7487385900087;89.84156868389611
52;71.60227135925598;252.27946003391784
53;88.0839562112451;103.25541794376578
54;43.67298951258191;155.34040788800218
55;229.44399758105445;171.5614818564331
56;262.94587991918434;169.6981489233983
57;221.6653493048896;200.52714291219348
58;139.8072771329447;280.8601677739182
59;268.9145382901289;224.5844168565361
60;106.48447109846046;200.22407932975008
61;243.7753122524169;95.44515853683112
62;207.93058543918968;54.51484302423554
63;268.81572077794334;139.52880201479294
64;277.9304591414153;189.19902658497523
65;146.7412903932706;197.5539604584319
66;182.01628030493154;219.8817025420736
67;164.42439730045376;43.922749332179414
68;107.90277942619757;223.4066525053333
69;6.1581499363381536;289.67889591965354
70;180.14798495987338;89.97023369127429
71;268.417039763238;0.8481984999379799
72;268.61650910157607;259.02424018536686
73;272.214975000234;113.87197982919643
74;250.06847812042992;135.08286281546933
75;19.835048425668955;201.62195060132225
76;268.8184016230243;24.76360404378045
77;140.26383189947126;37.13670971559287
78;25.904153574624956;53.48214922870345
79;112.09679848024764;17.747948770973878
