cвободная_паллетная_ёмкость:73292
шаг;материал;приход;уход;остаток
13;0;0;91;466
13;1;0;126;9420
13;2;0;0;0
13;3;0;70;5071
13;4;0;71;3561
13;5;0;0;0
13;6;2000;52;2716
13;7;0;231;857
13;8;0;0;0
13;9;0;0;0
13;10;0;318;514
13;11;0;284;2729
13;12;0;361;3689
13;13;0;289;2963
13;14;0;104;2976
13;15;0;0;0
13;16;0;99;678
13;17;0;240;431
13;18;0;82;4806
13;19;0;211;374
13;20;0;106;930
13;21;2000;324;1970
13;22;0;0;657
13;23;0;273;1494
13;24;2000;123;1877
13;25;0;35;374
13;26;0;229;1668
13;27;0;204;859
13;28;0;199;3243
13;29;0;0;0
13;30;0;0;0
13;31;0;0;0
13;32;0;158;3860
13;33;0;0;0
13;34;0;505;1749
13;35;0;111;7352
13;36;0;22;4914
13;37;0;0;0
13;38;0;329;4472
13;39;0;239;2552
13;40;0;74;945
13;41;0;406;1679
13;42;0;267;1609
13;43;0;58;1262
13;44;0;499;1303
13;45;0;72;1583
13;46;0;45;1716
13;47;0;3;538
13;48;0;262;563
13;49;0;0;0
13;50;0;170;685
13;51;0;183;991
13;52;0;0;0
13;53;0;81;529
13;54;2000;158;2414
13;55;0;0;0
13;56;0;224;1715
13;57;0;0;0
13;58;0;0;0
13;59;0;224;0
13;60;0;7;5446
13;61;0;0;0
13;62;0;234;1001
13;63;0;0;0
13;64;0;337;4023
13;65;2000;370;1630
13;66;0;0;0
13;67;0;73;5665
13;68;0;193;3100
13;69;0;63;1932
13;70;0;0;0
13;71;0;269;1464
13;72;0;0;0
13;73;0;0;0
13;74;0;0;0
13;75;0;0;0
13;76;0;0;0
13;77;0;125;63
13;78;0;72;5255
13;79;0;105;375
