cвободная_паллетная_ёмкость:41838
шаг;материал;приход;уход;остаток
0;0;0;105;1895
0;1;2000;66;3934
0;2;0;99;1901
0;3;0;45;1955
0;4;0;226;1774
0;5;0;165;1835
0;6;0;140;1860
0;7;0;31;1969
0;8;0;150;1850
0;9;0;145;1855
0;10;0;418;1582
0;11;2000;75;3925
0;12;0;114;1886
0;13;2000;158;3842
0;14;0;36;1964
0;15;0;491;1509
0;16;0;68;1932
0;17;0;101;1899
0;18;0;40;1960
0;19;0;550;1450
0;20;0;35;1965
0;21;0;244;1756
0;22;0;131;1869
0;23;0;237;1763
0;24;0;167;1833
0;25;0;199;1801
0;26;0;98;1902
0;27;0;220;1780
0;28;0;185;1815
0;29;0;163;1837
0;30;0;197;1803
0;31;0;160;1840
0;32;2000;151;3849
0;33;0;287;1713
0;34;0;187;1813
0;35;0;119;1881
0;36;0;58;1942
0;37;0;28;1972
0;38;0;494;1506
0;39;0;249;1751
0;40;0;75;1925
0;41;0;65;1935
0;42;0;245;1755
0;43;0;55;1945
0;44;0;549;1451
0;45;0;363;1637
0;46;0;153;1847
0;47;0;167;1833
0;48;0;29;1971
0;49;0;20;1980
0;50;0;244;1756
0;51;0;183;1817
0;52;0;66;1934
0;53;0;130;1870
0;54;0;265;1735
0;55;0;8;1992
0;56;2000;93;3907
0;57;0;242;1758
0;58;0;183;1817
0;59;0;237;1763
0;60;0;77;1923
0;61;0;337;1663
0;62;2000;305;3695
0;63;0;86;1914
0;64;0;446;1554
0;65;0;185;1815
0;66;0;302;1698
0;67;0;174;1826
0;68;0;93;1907
0;69;0;283;1717
0;70;0;110;1890
0;71;0;269;1731
0;72;0;66;1934
0;73;0;101;1899
0;74;0;252;1748
0;75;0;39;1961
0;76;0;193;1807
0;77;0;194;1806
0;78;0;13;1987
0;79;0;109;1891
