cвободная_паллетная_ёмкость:73404
шаг;материал;приход;уход;остаток
9;0;0;132;916
9;1;0;318;8077
9;2;0;0;0
9;3;0;102;5297
9;4;0;178;4147
9;5;0;149;983
9;6;0;59;1247
9;7;2000;108;1895
9;8;0;211;262
9;9;0;73;54
9;10;0;260;1528
9;11;0;221;3430
9;12;0;567;3057
9;13;0;287;3787
9;14;0;69;3222
9;15;0;0;0
9;16;0;89;1066
9;17;0;334;1007
9;18;0;5;5390
9;19;0;470;915
9;20;0;65;1153
9;21;0;273;1270
9;22;0;54;963
9;23;0;168;331
9;24;0;89;225
9;25;0;16;590
9;26;0;243;354
9;27;0;232;1732
9;28;2000;209;2044
9;29;0;367;790
9;30;0;13;0
9;31;0;0;0
9;32;2000;156;4472
9;33;0;0;0
9;34;2000;232;3350
9;35;0;143;4274
9;36;0;4;3188
9;37;0;0;0
9;38;2000;150;5709
9;39;0;244;1533
9;40;0;73;1249
9;41;0;73;294
9;42;0;227;0
9;43;0;29;1554
9;44;0;460;2480
9;45;0;100;2124
9;46;0;132;2479
9;47;0;83;1069
9;48;0;0;0
9;49;0;205;364
9;50;2000;354;1646
9;51;0;0;0
9;52;0;347;353
9;53;0;54;858
9;54;0;108;819
9;55;0;0;0
9;56;0;419;2928
9;57;0;0;0
9;58;0;0;0
9;59;0;82;1891
9;60;0;110;5856
9;61;0;0;0
9;62;0;289;1809
9;63;0;0;0
9;64;0;31;3299
9;65;0;0;0
9;66;0;59;0
9;67;0;228;6173
9;68;0;455;3742
9;69;0;0;0
9;70;0;173;427
9;71;0;0;0
9;72;0;0;0
9;73;0;0;0
9;74;0;0;0
9;75;0;342;0
9;76;0;0;0
9;77;0;115;576
9;78;0;79;5496
9;79;0;124;852
