cвободная_паллетная_ёмкость:60490
шаг;материал;приход;уход;остаток
4;0;0;150;1457
4;1;2000;225;9226
4;2;0;286;809
4;3;0;59;1658
4;4;0;109;2842
4;5;0;90;1543
4;6;0;15;1575
4;7;0;204;1048
4;8;0;166;1139
4;9;0;211;1379
4;10;0;287;631
4;11;0;444;2571
4;12;2000;448;4776
4;13;0;333;2928
4;14;0;114;3578
4;15;0;472;191
4;16;0;12;1483
4;17;0;409;695
4;18;0;0;1708
4;19;0;245;2427
4;20;0;82;1642
4;21;0;251;723
4;22;0;93;1456
4;23;0;292;952
4;24;0;38;1237
4;25;0;169;1122
4;26;0;7;1237
4;27;0;215;2869
4;28;0;192;1033
4;29;0;407;2530
4;30;0;239;1115
4;31;0;430;915
4;32;0;153;3238
4;33;0;257;584
4;34;0;163;2638
4;35;0;330;5173
4;36;0;121;1667
4;37;0;79;743
4;38;0;339;2770
4;39;0;250;762
4;40;0;64;1616
4;41;0;103;944
4;42;0;516;778
4;43;0;41;1806
4;44;0;225;461
4;45;2000;145;2827
4;46;0;51;1272
4;47;0;260;1440
4;48;0;726;486
4;49;0;160;1200
4;50;0;192;919
4;51;0;393;554
4;52;0;264;2867
4;53;0;92;1529
4;54;0;51;1176
4;55;0;538;392
4;56;0;16;3133
4;57;0;345;610
4;58;0;595;688
4;59;2000;351;3030
4;60;0;141;5067
4;61;0;192;516
4;62;0;218;2991
4;63;0;469;469
4;64;2000;324;2474
4;65;0;320;201
4;66;0;143;858
4;67;0;161;3166
4;68;2000;320;5397
4;69;0;814;262
4;70;0;299;965
4;71;0;268;656
4;72;0;58;965
4;73;0;385;552
4;74;0;222;607
4;75;0;91;1459
4;76;0;243;822
4;77;0;167;1203
4;78;0;134;3689
4;79;0;126;1393
