cвободная_паллетная_ёмкость:72365
шаг;материал;приход;уход;остаток
15;0;0;105;2063
15;1;0;166;9076
15;2;0;0;0
15;3;0;74;4963
15;4;0;262;3070
15;5;0;0;0
15;6;0;208;2295
15;7;2000;218;2263
15;8;0;0;0
15;9;0;0;0
15;10;0;271;0
15;11;0;20;2256
15;12;0;316;3313
15;13;0;265;2584
15;14;0;46;4840
15;15;0;0;0
15;16;0;117;419
15;17;0;87;197
15;18;0;29;4628
15;19;0;35;300
15;20;0;8;882
15;21;2000;339;3324
15;22;0;36;514
15;23;0;146;1043
15;24;2000;67;3727
15;25;0;49;282
15;26;0;201;1012
15;27;0;190;423
15;28;0;191;2839
15;29;0;69;1598
15;30;0;0;0
15;31;0;0;0
15;32;0;152;3552
15;33;0;0;0
15;34;0;99;1436
15;35;2000;126;9095
15;36;0;123;4772
15;37;0;0;0
15;38;0;461;3969
15;39;0;250;2037
15;40;0;55;2808
15;41;0;351;926
15;42;0;634;909
15;43;0;18;1219
15;44;0;486;129
15;45;0;92;1277
15;46;0;414;1223
15;47;0;12;413
15;48;0;0;0
15;49;0;0;0
15;50;0;269;84
15;51;0;376;2431
15;52;0;0;0
15;53;0;120;356
15;54;0;112;2277
15;55;0;0;0
15;56;0;357;1243
15;57;0;0;0
15;58;0;0;0
15;59;0;0;0
15;60;0;151;5040
15;61;2000;135;1865
15;62;0;240;570
15;63;0;0;0
15;64;0;284;3603
15;65;0;610;846
15;66;0;0;0
15;67;0;154;5387
15;68;0;188;2647
15;69;0;225;1697
15;70;0;0;0
15;71;0;268;929
15;72;0;0;0
15;73;0;155;1642
15;74;0;0;0
15;75;0;0;0
15;76;0;0;0
15;77;0;0;0
15;78;0;28;5165
15;79;0;88;177
