cвободная_паллетная_ёмкость:69112
шаг;материал;приход;уход;остаток
6;0;0;43;1351
6;1;0;96;8851
6;2;0;411;234
6;3;0;45;3533
6;4;0;34;2773
6;5;0;41;1288
6;6;0;0;1567
6;7;0;547;366
6;8;0;170;778
6;9;0;375;987
6;10;0;239;0
6;11;0;124;4391
6;12;0;464;3875
6;13;2000;283;4451
6;14;0;70;3433
6;15;0;0;0
6;16;0;146;1309
6;17;0;189;2079
6;18;2000;84;3610
6;19;0;329;1981
6;20;0;120;1396
6;21;0;361;146
6;22;0;179;1231
6;23;0;104;685
6;24;0;144;745
6;25;0;57;750
6;26;0;187;855
6;27;0;207;2422
6;28;0;195;648
6;29;0;416;1646
6;30;0;509;361
6;31;0;141;627
6;32;0;151;2933
6;33;0;267;49
6;34;0;14;2135
6;35;0;64;5068
6;36;0;6;1580
6;37;0;361;312
6;38;2000;112;4598
6;39;0;241;2271
6;40;0;68;1482
6;41;0;177;596
6;42;0;59;550
6;43;0;104;1666
6;44;0;700;1366
6;45;0;122;2588
6;46;0;426;845
6;47;0;35;1344
6;48;0;202;271
6;49;0;97;1071
6;50;0;275;368
6;51;0;122;0
6;52;0;577;1640
6;53;0;12;1295
6;54;0;4;1048
6;55;0;191;0
6;56;0;332;2387
6;57;0;171;304
6;58;0;353;301
6;59;0;50;2872
6;60;0;273;6164
6;61;0;326;0
6;62;0;144;2621
6;63;0;193;0
6;64;0;150;1939
6;65;0;35;0
6;66;0;134;427
6;67;2000;182;4774
6;68;0;321;4892
6;69;0;0;0
6;70;0;89;777
6;71;0;266;123
6;72;0;118;630
6;73;0;185;0
6;74;0;61;345
6;75;0;394;857
6;76;0;307;276
6;77;0;70;968
6;78;2000;25;5603
6;79;0;90;1183
